,0
945,7377.66
946,7284.55
947,7305.86
948,7314.01
949,7178.65
950,7350.91
951,7579.77
952,8029.4
953,8299.04
954,8378.52
955,8277.8
956,7983.55
957,7646.07
958,7479.91
959,7249.43
960,6987.44
961,6502.33
962,6186.45
963,6151.52
964,6397.94
965,7060.11
966,7575.11
967,7663.29
968,7399.35
969,7150.99
970,7002.31
971,6929.26
972,7036.53
973,7255.03
974,7563.1
975,8223.84
976,8817.8
977,9267.69
978,9245.01
979,9010.23
980,8580.36
981,8168.36
982,7840.75
983,7468.64
984,7101.55
985,6562.72
986,6236.59
987,6203.72
988,6448.34
989,7078.08
990,7659.76
991,7906.98
992,7842.93
993,7773.38
994,7508.42
995,7796.29
996,8091.55
997,7994.92
998,8728.09
999,9632.01
1000,10083.43
1001,9913.7
1002,9713.86
1003,9444.6
1004,8989.41
1005,8509.42
1006,8221.2
1007,7849.89
1008,7383.23
1009,6815.07
1010,6424.19
1011,6367.0
1012,6447.94
1013,6755.44
1014,7099.16
1015,7643.03
1016,7976.97
1017,7823.62
1018,7664.33
1019,7462.04
1020,7258.75
1021,7195.08
1022,7276.04
1023,7389.88
1024,7572.1
1025,7709.52
1026,7749.48
1027,7625.23
1028,7348.86
1029,7200.8
1030,7055.26
1031,6774.57
1032,6505.05
1033,6087.64
1034,5830.15
1035,5724.22
1036,5732.27
1037,5941.07
1038,6123.03
1039,6329.06
1040,6349.86
1041,6256.41
1042,6059.64
1043,5991.18
1044,5924.94
1045,5895.71
1046,5983.29
1047,6236.79
1048,6835.85
1049,7522.14
1050,7709.64
1051,7719.53
1052,7483.95
1053,7147.92
1054,6949.53
1055,6670.79
1056,6518.42
1057,6042.61
1058,5873.3
1059,5843.07
1060,6100.5
1061,6802.5
1062,7469.6
1063,7592.17
1064,7426.5
1065,7194.04
1066,6952.44
1067,6983.06
1068,6903.01
1069,6873.14
1070,6930.88
1071,7298.48
1072,7821.49
1073,8221.93
1074,8210.03
1075,8130.51
1076,7801.44
1077,7506.85
1078,7313.7
1079,7131.38
1080,6853.18
1081,6370.13
1082,6045.03
1083,5985.6
1084,6273.9
1085,7009.32
1086,7589.66
1087,7721.83
1088,7713.53
1089,7484.67
1090,7268.79
1091,7255.99
1092,7229.63
1093,7294.19
1094,7359.62
1095,7681.92
1096,8137.52
1097,8420.33
1098,8482.84
1099,8408.89
1100,8084.16
1101,7711.78
1102,7541.45
1103,7273.52
1104,6958.95
1105,6470.06
1106,6104.69
1107,6064.77
1108,6334.33
1109,7014.85
1110,7721.38
1111,7847.68
1112,7569.57
1113,7601.39
1114,7517.63
1115,7187.32
1116,7134.8
1117,7185.8
1118,7258.64
1119,7523.27
1120,7878.4
1121,8235.88
1122,8358.49
1123,8341.47
1124,7873.79
1125,7621.1
1126,7469.87
1127,7224.62
1128,6912.43
1129,6443.24
1130,6103.68
1131,6026.17
1132,6284.18
1133,6978.73
1134,7634.63
1135,7829.45
1136,7625.39
1137,7633.29
1138,7539.13
1139,7603.03
1140,7322.21
1141,7385.71
1142,7435.95
1143,7683.01
1144,8107.57
1145,8434.92
1146,8445.43
1147,8440.0
1148,8018.78
1149,7668.41
1150,7508.7
1151,7253.27
1152,6997.1
1153,6526.2
1154,6169.27
1155,6175.78
1156,6486.14
1157,7106.31
1158,7836.12
1159,8229.46
1160,8171.19
1161,8121.16
1162,7902.89
1163,7908.27
1164,7923.51
1165,7996.28
1166,8103.8
1167,8419.12
1168,8862.06
1169,9012.55
1170,8993.37
1171,8840.21
1172,8521.55
1173,8167.77
1174,7898.43
1175,7593.17
1176,7230.44
1177,6639.85
1178,6257.31
1179,6155.21
1180,6228.38
1181,6531.67
1182,6879.99
1183,7230.01
1184,7486.2
1185,7359.43
1186,7234.01
1187,7252.26
1188,7084.82
1189,7390.43
1190,7636.81
1191,8046.34
1192,8561.92
1193,9089.91
1194,9066.54
1195,8869.9
1196,8522.7
1197,8159.54
1198,7778.61
1199,7312.28
1200,7015.8
1201,6483.66
1202,6185.48
1203,6119.21
1204,6164.15
1205,6346.45
1206,6533.34
1207,6745.05
1208,6932.45
1209,7070.65
1210,7059.07
1211,7138.88
1212,7297.56
1213,7703.98
1214,7994.21
1215,8548.97
1216,8891.22
1217,9367.4
1218,9371.91
1219,9235.27
1220,8766.46
1221,8190.4
1222,7766.13
1223,7308.69
1224,6999.18
1225,6604.86
1226,6332.89
1227,6299.19
1228,6544.88
1229,7223.09
1230,7988.73
1231,8225.8
1232,8158.85
1233,8079.8
1234,8111.43
1235,8247.98
1236,8509.82
1237,8859.03
1238,9150.52
1239,9664.11
1240,9919.37
1241,9820.33
1242,9481.79
1243,9094.11
1244,8494.58
1245,8080.06
1246,7701.62
1247,7299.18
1248,7038.48
1249,6572.08
1250,6285.1
1251,6265.94
1252,6535.84
1253,7220.87
1254,7889.56
1255,8177.84
1256,8107.96
1257,7959.6
1258,7863.2
1259,7738.38
1260,7620.94
1261,7589.74
1262,7531.18
1263,7798.33
1264,8180.12
1265,8366.7
1266,8270.7
1267,8177.89
1268,7772.75
1269,7477.98
1270,7330.27
1271,7089.94
1272,6894.29
1273,6381.69
1274,6053.65
1275,6021.13
1276,6281.93
1277,7002.87
1278,7772.03
1279,7864.41
1280,7752.71
1281,7581.21
1282,7588.32
1283,7631.84
1284,7856.84
1285,7604.83
1286,7576.04
1287,7958.35
1288,8165.97
1289,8302.03
1290,8295.42
1291,8266.4
1292,7896.98
1293,7619.83
1294,7421.43
1295,7232.47
1296,7002.81
1297,6536.9
1298,6166.64
1299,6140.6
1300,6417.93
1301,7142.47
1302,7848.73
1303,8086.74
1304,8050.03
1305,8230.38
1306,8015.55
1307,7618.73
1308,7506.49
1309,7904.45
1310,7933.21
1311,8206.2
1312,8423.71
1313,8576.04
1314,8559.34
1315,8570.0
1316,8124.54
1317,7786.83
1318,7614.41
1319,7419.33
1320,7089.7
1321,6579.91
1322,6209.13
1323,6151.17
1324,6411.42
1325,7099.07
1326,7811.81
1327,7867.92
1328,7584.74
1329,7286.61
1330,7035.67
1331,6958.56
1332,7027.35
1333,7278.35
1334,7625.68
1335,8155.56
1336,8686.21
1337,8955.04
1338,8716.11
1339,8560.83
1340,8096.35
1341,7745.09
1342,7643.6
1343,7340.79
1344,7059.36
1345,6522.46
1346,6178.61
1347,6038.63
1348,6144.41
1349,6494.12
1350,6893.79
1351,7360.03
1352,7759.56
1353,7626.83
1354,7562.22
1355,7472.26
1356,7231.25
1357,7100.73
1358,7083.01
1359,7318.13
1360,7541.38
1361,7865.85
1362,7985.93
1363,7980.03
1364,7666.66
1365,7405.32
1366,7291.21
1367,7028.26
1368,6743.04
1369,6366.98
1370,6068.72
1371,5944.57
1372,6030.89
1373,6143.39
1374,6382.19
1375,6667.39
1376,6787.29
1377,6648.43
1378,6449.6
1379,6283.3
1380,6358.22
1381,6645.1
1382,7090.7
1383,7708.27
1384,8373.91
1385,9042.24
1386,9015.32
1387,8799.37
1388,8288.06
1389,7870.47
1390,7527.73
1391,7163.21
1392,6947.85
1393,6499.29
1394,6243.42
1395,6231.0
1396,6526.71
1397,7217.68
1398,8071.15
1399,8374.86
1400,8226.01
1401,8063.04
1402,8018.16
1403,8142.51
1404,8519.26
1405,9162.01
1406,9631.56
1407,10486.53
1408,11065.98
1409,11344.27
1410,10998.98
1411,10503.21
1412,9686.49
1413,8812.95
1414,8167.28
1415,7757.99
1416,7380.75
1417,6859.84
1418,6495.31
1419,6386.63
1420,6617.63
1421,7308.19
1422,7999.41
1423,8064.19
1424,7836.62
1425,7663.85
1426,7357.17
1427,7321.09
1428,7107.26
1429,7102.15
1430,7280.31
1431,7660.61
1432,8052.47
1433,8459.65
1434,8394.8
1435,8317.72
1436,7949.77
1437,7606.18
1438,7445.58
1439,7197.12
1440,6963.17
1441,6451.45
1442,6124.4
1443,6088.95
1444,6382.46
1445,7076.98
1446,7834.03
1447,8041.08
1448,7841.96
1449,7287.8
1450,7266.58
1451,7028.14
1452,7080.31
1453,7002.55
1454,7023.09
1455,7339.92
1456,7943.02
1457,8131.81
1458,8201.04
1459,8148.41
1460,7738.15
1461,7478.65
1462,7326.16
1463,7096.47
1464,6831.85
1465,6368.14
1466,6052.78
1467,6053.69
1468,6340.1
1469,6990.17
1470,7720.04
1471,7683.26
1472,7303.04
1473,6940.05
1474,6649.89
1475,6532.98
1476,6597.36
1477,6739.95
1478,6985.34
1479,7524.78
1480,8206.88
1481,8759.28
1482,8851.2
1483,8685.0
1484,8212.91
1485,7731.97
1486,7559.15
1487,7198.04
1488,6932.96
1489,6462.96
1490,6119.14
1491,6158.5
1492,6381.92
1493,7114.46
1494,7724.6
1495,7751.32
1496,7448.48
1497,7138.87
1498,7145.26
1499,6941.31
1500,6615.47
1501,6621.87
1502,6822.19
1503,7278.3
1504,7720.58
1505,8029.68
1506,8067.48
1507,7946.95
1508,7654.96
1509,7431.72
1510,7343.19
1511,7135.12
1512,6882.37
1513,6410.16
1514,6089.11
1515,5944.09
1516,6046.85
1517,6329.38
1518,6661.97
1519,6982.94
1520,6834.15
1521,6405.27
1522,6209.5
1523,6232.85
1524,6018.13
1525,5912.13
1526,6024.59
1527,6341.67
1528,6840.96
1529,7444.75
1530,7653.51
1531,7622.68
1532,7204.99
1533,7029.64
1534,6962.82
1535,6701.01
1536,6466.06
1537,6059.35
1538,5813.86
1539,5739.67
1540,5780.68
1541,6007.16
1542,6228.09
1543,6355.67
1544,6263.45
1545,6056.09
1546,5984.3
1547,5892.92
1548,5834.21
1549,5862.88
1550,6035.51
1551,6526.17
1552,7244.54
1553,8079.49
1554,8042.57
1555,8042.14
1556,7617.61
1557,7294.02
1558,7036.0
1559,6739.56
1560,6505.37
1561,6147.85
1562,5998.33
1563,5990.42
1564,6267.22
1565,6983.95
1566,7645.54
1567,7906.19
1568,7821.13
1569,7645.68
1570,7485.58
1571,7634.32
1572,8112.34
1573,8959.61
1574,8774.77
1575,8883.32
1576,8945.63
1577,8858.38
1578,8773.59
1579,8654.49
1580,8180.41
1581,7799.97
1582,7544.0
1583,7273.09
1584,6996.52
1585,6501.39
1586,6215.01
1587,6116.67
1588,6409.94
1589,7011.87
1590,7809.11
1591,7865.61
1592,7710.45
1593,7398.95
1594,7284.74
1595,7364.16
1596,7606.9
1597,7793.09
1598,8161.14
1599,8599.15
1600,8914.52
1601,9106.55
1602,8921.44
1603,8670.9
1604,8234.32
1605,7894.82
1606,7618.84
1607,7291.08
1608,6982.33
1609,6494.46
1610,6178.89
1611,6158.81
1612,6409.04
1613,7056.38
1614,7791.14
1615,7967.35
1616,7927.61
1617,7783.61
1618,7620.78
1619,7478.99
1620,7579.3
1621,7664.3
1622,7841.75
1623,8314.82
1624,8712.84
1625,8795.09
1626,8649.29
1627,8480.46
1628,8047.16
1629,7732.69
1630,7567.36
1631,7333.09
1632,7047.49
1633,6539.74
1634,6223.81
1635,6154.39
1636,6459.3
1637,7162.31
1638,7944.39
1639,8191.14
1640,8256.13
1641,8153.78
1642,8106.11
1643,8017.67
1644,8201.18
1645,8144.79
1646,8214.98
1647,8287.67
1648,8837.42
1649,9028.59
1650,8997.76
1651,8768.07
1652,8284.77
1653,7877.46
1654,7745.09
1655,7466.78
1656,7156.78
1657,6687.28
1658,6290.6
1659,6308.04
1660,6594.0
1661,7247.56
1662,8056.76
1663,8354.71
1664,8303.37
1665,8235.04
1666,8118.82
1667,7975.21
1668,7916.46
1669,8011.66
1670,8267.56
1671,8541.07
1672,8667.79
1673,8740.03
1674,8732.51
1675,8603.29
1676,8225.41
1677,7984.1
1678,7812.76
1679,7541.77
1680,7162.5
1681,6531.4
1682,6196.89
1683,6091.57
1684,6161.37
1685,6458.4
1686,6862.23
1687,7200.3
1688,7280.71
1689,7020.06
1690,6845.07
1691,7124.16
1692,7519.65
1693,7877.99
1694,8299.43
1695,8862.28
1696,9337.36
1697,9587.3
1698,9399.08
1699,9105.64
1700,8382.68
1701,8257.63
1702,7997.84
1703,7473.85
1704,7157.65
1705,6700.39
1706,6367.18
1707,6296.22
1708,6251.94
1709,6457.94
1710,6671.99
1711,7058.04
1712,7394.01
1713,7492.43
1714,7374.06
1715,7289.29
1716,7119.03
1717,7022.79
1718,7115.17
1719,7274.71
1720,7675.22
1721,8050.23
1722,7956.99
1723,7696.41
1724,7326.22
1725,6975.34
1726,6793.4
1727,6557.98
1728,6313.85
1729,5969.96
1730,5694.03
1731,5744.75
1732,6020.93
1733,6720.64
1734,7619.84
1735,7721.9
1736,7294.55
1737,6890.11
1738,6557.85
1739,6544.92
1740,6515.71
1741,6492.71
1742,6616.16
1743,6962.19
1744,7468.69
1745,8060.39
1746,8177.69
1747,8005.08
1748,7573.62
1749,7274.84
1750,7184.81
1751,6955.38
1752,6743.32
1753,6314.55
1754,5984.86
1755,5890.23
1756,6186.56
1757,6938.71
1758,7778.06
1759,7895.63
1760,7733.81
1761,7440.22
1762,7029.92
1763,7085.09
1764,7399.55
1765,7467.85
1766,7482.83
1767,7672.84
1768,8097.72
1769,8393.76
1770,8507.87
1771,8198.43
1772,7775.97
1773,7462.84
1774,7345.78
1775,7056.88
1776,6849.85
1777,6353.34
1778,5999.4
1779,5981.55
1780,6237.05
1781,6985.1
1782,7821.44
1783,8060.23
1784,7841.94
1785,7755.16
1786,7595.23
1787,7511.38
1788,7474.37
1789,7370.84
1790,7460.35
1791,7795.99
1792,8143.58
1793,8471.23
1794,8496.3
1795,8271.57
1796,7735.99
1797,7503.12
1798,7417.91
1799,7172.39
1800,6906.74
1801,6443.75
1802,6109.74
1803,6076.82
1804,6358.41
1805,7014.83
1806,7934.14
1807,8342.77
1808,8296.53
1809,8219.39
1810,8230.08
1811,8125.59
1812,8055.12
1813,7955.58
1814,7919.26
1815,8157.49
1816,8450.32
1817,8716.15
1818,8708.41
1819,8367.02
1820,7994.74
1821,7617.59
1822,7554.87
1823,7299.8
1824,7045.03
1825,6508.95
1826,6124.45
1827,6112.6
1828,6319.97
1829,6966.92
1830,7891.55
1831,8194.53
1832,8164.95
1833,8091.18
1834,7923.22
1835,7659.14
1836,7433.03
1837,7484.26
