,0
2146,0
2147,0
2148,0
2149,1
2150,23
2151,52
2152,61
2153,74
2154,55
2155,19
2156,1
2157,0
2158,0
2159,0
2160,0
2161,1
2162,12
2163,17
2164,16
2165,19
2166,24
2167,5
2168,1
2169,0
2170,0
2171,0
2172,0
2173,0
2174,11
2175,17
2176,15
2177,19
2178,12
2179,2
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,19
2187,35
2188,54
2189,62
2190,23
2191,17
2192,1
2193,0
2194,0
2195,0
2196,0
2197,0
2198,27
2199,30
2200,19
2201,30
2202,13
2203,7
2204,1
2205,0
2206,0
2207,0
2208,0
2209,0
2210,2
2211,4
2212,11
2213,16
2214,9
2215,5
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,3
2223,3
2224,9
2225,17
2226,10
2227,4
2228,1
2229,0
2230,0
2231,0
2232,0
2233,0
2234,7
2235,24
2236,32
2237,35
2238,23
2239,8
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,2
2247,14
2248,8
2249,19
2250,39
2251,21
2252,1
2253,0
2254,0
2255,0
2256,0
2257,0
2258,14
2259,57
2260,63
2261,58
2262,43
2263,16
2264,0
2265,0
2266,0
2267,0
2268,0
2269,1
2270,23
2271,46
2272,79
2273,75
2274,47
2275,12
2276,1
2277,0
2278,0
2279,0
2280,0
2281,2
2282,23
2283,54
2284,72
2285,58
2286,52
2287,17
2288,1
2289,0
2290,0
2291,0
2292,0
2293,1
2294,27
2295,55
2296,70
2297,64
2298,48
2299,19
2300,1
2301,0
2302,0
2303,0
2304,0
2305,0
2306,24
2307,46
2308,63
2309,74
2310,39
2311,19
2312,1
2313,0
2314,0
2315,0
2316,0
2317,1
2318,12
2319,53
2320,75
2321,77
2322,25
2323,5
2324,1
2325,0
2326,0
2327,0
2328,0
2329,0
2330,19
2331,53
2332,64
2333,76
2334,36
2335,18
2336,1
2337,0
2338,0
2339,0
2340,0
2341,0
2342,21
2343,23
2344,59
2345,44
2346,19
2347,22
2348,1
2349,0
2350,0
2351,0
2352,0
2353,1
2354,19
2355,35
2356,49
2357,28
2358,34
2359,14
2360,1
2361,0
2362,0
2363,0
2364,0
2365,1
2366,12
2367,37
2368,45
2369,47
2370,27
2371,71
2372,48
2373,39
2374,3
2375,0
2376,0
2377,0
2378,0
2379,0
2380,7
2381,35
2382,43
2383,63
2384,55
2385,24
2386,8
2387,0
2388,0
2389,0
2390,0
2391,0
2392,6
2393,27
2394,51
2395,68
2396,55
2397,49
2398,1
2399,0
2400,0
2401,0
2402,0
2403,1
2404,19
2405,25
2406,61
2407,63
2408,47
2409,15
2410,1
2411,0
2412,0
2413,0
2414,0
2415,1
2416,13
2417,40
2418,51
2419,64
2420,52
2421,17
2422,2
2423,0
2424,0
2425,0
2426,0
2427,0
2428,23
2429,27
2430,77
2431,39
2432,38
2433,14
2434,2
2435,0
2436,0
2437,0
2438,0
2439,0
2440,22
2441,40
2442,83
2443,82
2444,49
2445,19
2446,0
2447,0
2448,0
2449,0
2450,0
2451,1
2452,16
2453,26
2454,61
2455,70
2456,58
2457,20
2458,1
2459,0
2460,0
2461,0
2462,0
2463,0
2464,22
2465,54
2466,39
2467,73
2468,56
2469,20
2470,0
2471,0
2472,0
2473,0
2474,0
2475,1
2476,22
2477,48
2478,67
2479,69
2480,30
2481,17
2482,0
2483,0
2484,0
2485,0
2486,0
2487,1
2488,21
2489,52
2490,71
2491,62
2492,52
2493,7
2494,1
2495,0
2496,0
2497,0
2498,0
2499,0
2500,21
2501,54
2502,77
2503,72
2504,19
2505,7
2506,2
2507,0
2508,0
2509,0
2510,0
2511,1
2512,18
2513,50
2514,52
2515,20
2516,23
2517,4
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,10
2525,42
2526,26
2527,53
2528,36
2529,12
2530,1
2531,0
2532,0
2533,0
2534,0
2535,0
2536,21
2537,26
2538,70
2539,73
2540,53
2541,17
2542,1
2543,0
2544,0
2545,0
2546,0
2547,0
2548,22
2549,60
2550,77
2551,76
2552,52
2553,13
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,21
2561,60
2562,67
2563,63
2564,42
2565,17
2566,0
2567,0
2568,0
2569,0
2570,0
2571,1
2572,22
2573,62
2574,77
2575,33
2576,50
2577,19
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,21
2585,57
2586,63
2587,45
2588,49
2589,13
2590,1
2591,0
2592,0
2593,0
2594,0
2595,0
2596,15
2597,28
2598,24
2599,15
2600,7
2601,4
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,3
2609,33
2610,38
2611,57
2612,24
2613,7
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,1
2621,12
2622,63
2623,30
2624,19
2625,7
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,10
2633,57
2634,48
2635,66
2636,53
2637,15
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,12
2645,27
2646,35
2647,69
2648,32
2649,5
2650,0
2651,0
2652,0
2653,0
2654,0
2655,0
2656,10
2657,30
2658,38
2659,20
2660,29
2661,4
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,1
2669,14
2670,25
2671,29
2672,16
2673,5
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,16
2681,40
2682,51
2683,16
2684,15
2685,9
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,7
2693,9
2694,31
2695,45
2696,60
2697,13
2698,0
2699,0
2700,0
2701,0
2702,0
2703,0
2704,6
2705,3
2706,13
2707,18
2708,19
2709,3
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,9
2717,14
2718,24
2719,48
2720,19
2721,7
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,11
2729,28
2730,14
2731,26
2732,32
2733,14
2734,0
2735,0
2736,0
2737,0
2738,0
2739,0
2740,20
2741,42
2742,78
2743,72
2744,50
2745,16
2746,0
2747,0
2748,0
2749,0
2750,0
2751,0
2752,4
2753,14
2754,4
2755,5
2756,2
2757,3
2758,0
2759,0
2760,0
2761,0
2762,0
2763,0
2764,16
2765,32
2766,47
2767,56
2768,49
2769,12
2770,0
2771,0
2772,0
2773,0
2774,0
2775,0
2776,7
2777,9
2778,19
2779,20
2780,6
2781,3
2782,0
2783,0
2784,0
2785,0
2786,0
2787,0
2788,3
2789,2
2790,0
2791,17
2792,5
2793,4
2794,0
2795,0
2796,0
2797,0
2798,0
2799,0
2800,17
2801,8
2802,27
2803,19
2804,9
2805,13
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,19
2813,65
2814,75
2815,75
2816,56
2817,12
2818,0
2819,0
2820,0
2821,0
2822,0
2823,0
2824,15
2825,17
2826,17
2827,61
2828,14
2829,3
2830,0
2831,0
2832,0
2833,0
2834,0
2835,0
2836,17
2837,60
2838,82
2839,78
2840,45
2841,10
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,6
2849,12
2850,11
2851,31
2852,19
2853,7
2854,0
2855,0
2856,0
2857,0
2858,0
2859,0
2860,9
2861,26
2862,63
2863,61
2864,40
2865,10
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,5
2873,11
2874,59
2875,47
2876,19
2877,4
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0
2884,1
2885,5
2886,14
2887,33
2888,7
2889,0
2890,0
2891,0
2892,0
2893,0
2894,0
2895,0
2896,9
2897,28
2898,32
2899,31
2900,13
2901,1
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0
2908,4
2909,18
2910,11
2911,17
2912,16
2913,5
2914,0
2915,0
2916,0
2917,0
2918,0
2919,0
2920,12
2921,33
2922,67
2923,63
2924,39
2925,11
2926,0
2927,0
2928,0
2929,0
2930,0
2931,0
2932,14
2933,38
2934,25
2935,30
2936,23
2937,6
2938,0
2939,0
2940,0
2941,0
2942,0
2943,0
2944,10
2945,14
2946,44
2947,55
2948,16
2949,4
2950,0
2951,0
2952,0
2953,0
2954,0
2955,0
2956,1
2957,9
2958,40
2959,27
2960,16
2961,6
2962,0
2963,0
2964,0
2965,0
2966,0
2967,0
2968,6
2969,37
2970,41
2971,51
2972,51
2973,7
2974,0
2975,0
2976,0
2977,0
2978,0
2979,0
2980,8
2981,40
2982,66
2983,40
2984,36
2985,7
2986,0
2987,0
2988,0
2989,0
2990,0
2991,0
2992,6
2993,12
2994,26
2995,34
2996,17
