,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
140,18,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61
141,0,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18
142,0,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0
143,0,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0
144,0,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0
145,0,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0
146,0,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0
147,0,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0
148,6,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0
149,48,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6
150,68,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36
151,56,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59
152,13,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38
153,0,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10
154,0,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0
155,0,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0
156,0,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0
157,0,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0
158,0,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0
159,0,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0
160,5,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0
161,55,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6
162,73,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51
163,61,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75
164,18,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61
165,0,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18
166,0,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0
167,0,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0
168,0,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0
169,0,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0
170,0,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0
171,0,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0
172,6,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0
173,36,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3
174,59,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64
175,38,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84
176,10,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70
177,0,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24
178,0,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0
179,0,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0
180,0,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0
181,0,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0
182,0,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0
183,0,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0
184,6,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0
185,51,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7
186,75,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20
187,61,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28
188,18,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55
189,0,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5
190,0,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0
191,0,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0
192,0,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0
193,0,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0
194,0,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0
195,0,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0
196,3,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0
197,64,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4
198,84,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61
199,70,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80
200,24,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68
201,0,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24
202,0,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0
203,0,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0
204,0,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0
205,0,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0
206,0,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0
207,0,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0
208,7,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0
209,20,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4
210,28,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58
211,55,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75
212,5,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62
213,0,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19
214,0,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0
215,0,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0
216,0,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0
217,0,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0
218,0,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0
219,0,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0
220,4,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0
221,61,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4
222,80,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57
223,68,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71
224,24,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16
225,0,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6
226,0,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0
227,0,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0
228,0,0,0,0,4,58,75,62,19,0,0,0,0,0,0,0,4,57,71,16,6,0,0,0
